Measured_PPV_mm_per_s,Distance_from_Dam_m,Charge_Factor,Total_Explosive_Quantity_kg,SDI,BVII,RDI,Slope_deg,Burden_m,Spacing_m,Dam_State,Dam_State_ID
6.8954,3953,1.6098,165,173.443,0.0461,0.684,0,3.7961,5.9031,Failed,2
11.7991,4530,2.3691,910,217.8224,0.9308,0.1902,8,3.7349,4.1957,Failed,2
3.0751,728,0.7536,2053,397.2404,0.6608,0.5209,19,3.1646,2.7659,Failed,2
7.7621,4332,0.4795,742,139.0646,0.7464,0.4691,18,2.2491,2.5063,Failed,2
8.927,3030,0.6542,1155,71.1276,0.3116,0.071,35,2.3133,4.5932,Failed,2
0.7921,1621,2.2399,2421,156.5816,0.8457,0.8183,39,3.5182,3.8763,Intact,0
9.1524,926,1.6854,2211,424.7671,0.2596,0.3357,44,3.2453,6.4885,Failed,2
2.6408,4922,0.8576,1842,44.4949,0.0016,0.5746,3,3.8065,5.5896,Damaged,1
1.0693,1600,2.0767,203,495.848,0.3764,0.5148,8,3.0669,5.5451,Damaged,1
14.2384,3394,2.1812,1950,270.5014,0.5708,0.5133,40,4.4077,6.321,Failed,2
14.4879,2519,2.147,1477,492.4229,0.4787,0.1072,21,5.0238,6.0509,Failed,2
12.1451,1034,2.3135,1339,469.4982,0.8621,0.4235,17,3.046,3.7727,Failed,2
4.6387,3142,0.7802,364,226.4069,0.1054,0.4524,11,2.6754,3.1639,Failed,2
1.5553,4597,1.9366,1114,99.2455,0.5538,0.7336,41,2.4066,5.4836,Damaged,1
10.2951,1566,1.2592,154,82.4424,0.513,0.84,42,4.1569,4.0131,Failed,2
6.6583,3661,2.1366,1974,119.9947,0.2814,0.545,38,3.5535,4.3927,Failed,2
1.9184,714,1.8755,1963,355.0663,0.8222,0.0868,8,2.6581,5.0216,Damaged,1
7.4781,1282,1.9858,1266,136.475,0.7528,0.2368,5,4.286,6.1315,Failed,2
0.6124,3323,1.7092,1474,170.7126,0.7329,0.1649,18,2.5197,4.1764,Intact,0
13.6489,2767,0.6081,2451,224.3894,0.8762,0.1246,6,3.9401,5.6333,Failed,2
3.9558,230,1.4536,1822,456.6163,0.7228,0.3659,15,3.845,3.5734,Failed,2
9.9716,3083,2.4647,2010,94.6967,0.2318,0.2294,4,4.5698,5.2919,Failed,2
4.7445,4378,2.356,1653,2.5133,0.7056,0.2183,15,2.1929,2.5063,Failed,2
7.849,4559,0.2993,758,30.0482,0.3077,0.0547,0,5.1076,5.986,Failed,2
8.246,138,0.5791,700,452.3832,0.2422,0.0177,36,4.4605,2.6215,Failed,2
2.8543,4059,0.503,996,323.7582,0.073,0.1028,38,2.7564,5.351,Damaged,1
14.5468,3687,1.8698,710,136.5203,0.744,0.1722,18,2.6419,2.685,Failed,2
11.6495,1020,2.0809,2196,88.5963,0.711,0.431,36,3.5108,3.565,Failed,2
14.0985,2869,0.6911,2379,147.1334,0.2345,0.5105,16,4.8615,4.4888,Failed,2
13.4329,4211,1.3635,2500,57.3985,0.7494,0.1406,25,4.9503,4.1798,Failed,2
9.0087,592,2.1336,1182,470.7665,0.9178,0.4248,21,3.8216,3.2673,Failed,2
13.8359,1231,1.8854,749,392.1031,0.108,0.3417,7,5.0128,3.8353,Failed,2
1.4185,3621,1.4471,2296,231.1956,0.2326,0.1834,32,2.0191,5.4108,Damaged,1
3.0201,410,1.5578,2088,432.4813,0.7503,0.0068,1,2.1231,5.177,Failed,2
0.7739,838,1.3692,2424,124.7291,0.2745,0.467,29,5.1914,2.7873,Intact,0
4.9474,3341,0.8844,2251,358.5603,0.6247,0.6857,19,4.7137,5.4893,Failed,2
5.8913,645,1.4996,601,428.0662,0.0812,0.2263,17,3.5775,2.7122,Failed,2
4.1431,2561,1.7844,454,178.3844,0.4522,0.1318,42,4.6376,4.6717,Failed,2
12.4482,4446,2.2086,511,378.7322,0.7391,0.887,9,5.3447,3.5403,Failed,2
5.4156,4954,1.6635,2229,147.5362,0.6865,0.275,23,4.7023,4.8508,Failed,2
4.2859,1904,1.9506,923,149.4286,0.8151,0.2236,3,4.9483,3.5453,Failed,2
8.1862,3312,0.5682,133,53.5286,0.8775,0.8571,36,4.6621,6.4398,Failed,2
2.1998,3910,1.2616,1472,220.029,0.7732,0.8171,3,2.5887,3.7389,Damaged,1
12.0527,913,0.2215,270,364.856,0.6716,0.4483,12,4.9175,3.4678,Failed,2
1.2108,4224,0.7674,1441,470.1104,0.0317,0.4892,24,2.6829,3.6139,Damaged,1
14.8046,2132,1.8709,161,301.8985,0.535,0.2177,12,5.1241,6.0859,Failed,2
11.6064,4672,2.4812,664,431.5678,0.0377,0.0783,17,3.6053,5.0449,Failed,2
3.0609,4513,0.4281,1631,411.2473,0.8081,0.5734,23,4.3694,5.4227,Failed,2
0.1823,344,1.1234,524,86.6715,0.3207,0.0983,1,3.7403,6.172,Intact,0
12.2504,4943,2.0402,1963,242.9087,0.5624,0.4493,32,2.329,6.1475,Failed,2
10.6322,4892,0.6693,320,58.4618,0.2794,0.9405,18,3.0175,5.4558,Failed,2
10.9622,371,1.4767,1970,341.0766,0.7825,0.9528,8,5.4431,3.2913,Failed,2
11.5919,3611,1.8861,1440,474.9498,0.8865,0.2393,27,5.3625,5.8735,Failed,2
1.2033,1871,1.6168,89,68.5447,0.3986,0.6241,34,3.1217,3.3151,Intact,0
5.4411,1362,0.6325,2032,366.9416,0.8629,0.4741,38,5.487,5.4716,Failed,2
1.8264,2524,1.0174,2286,316.1191,0.2671,0.8757,9,4.9594,5.2424,Damaged,1
12.9602,4461,2.0027,1043,291.8025,0.5347,0.2714,0,4.1384,5.5356,Failed,2
9.3871,1020,1.4747,2062,195.0601,0.8588,0.0037,41,2.1404,4.6307,Failed,2
5.0304,3530,0.212,339,177.5658,0.3259,0.1626,20,5.1551,5.0549,Failed,2
1.047,4535,1.9503,328,22.6246,0.954,0.3495,8,3.951,6.3133,Intact,0
4.7336,4584,0.2812,630,108.9544,0.1219,0.3157,14,5.0397,2.9044,Damaged,1
4.9452,2724,1.9152,912,7.5884,0.0183,0.7914,34,4.9205,3.7354,Damaged,1
10.9711,3860,0.6657,303,290.7086,0.9041,0.6806,4,4.9155,4.9454,Failed,2
9.5996,2150,2.4036,230,52.9266,0.0686,0.2996,40,4.4436,6.3562,Failed,2
13.3195,3600,1.0463,730,436.5097,0.9919,0.4577,21,3.02,2.8823,Failed,2
7.136,1265,0.9519,874,261.5715,0.9514,0.0956,40,3.1766,2.5902,Failed,2
1.882,475,0.5424,749,349.845,0.137,0.8981,22,3.0796,2.723,Damaged,1
10.7273,2133,0.9029,1399,205.4285,0.5376,0.9354,6,2.0702,2.7096,Failed,2
11.4357,245,2.2163,1430,280.2899,0.1849,0.9798,22,4.039,6.1313,Failed,2
8.463,4488,2.4916,1723,471.3296,0.4282,0.8686,43,4.4459,5.385,Failed,2
11.5874,531,1.0471,2488,41.367,0.0614,0.174,24,4.9885,5.2084,Failed,2
7.4576,804,1.2318,1688,126.9689,0.2239,0.0462,26,2.4906,4.5903,Failed,2
7.8887,2732,1.8608,2007,389.9942,0.3633,0.5796,40,3.9046,5.6278,Failed,2
6.4704,4594,2.2383,261,49.3686,0.4386,0.9126,5,2.028,3.1226,Failed,2
0.4787,1063,1.564,1588,37.8306,0.9775,0.1774,33,2.3328,4.0678,Intact,0
1.7076,2334,1.1005,433,180.7707,0.8079,0.007,8,2.1897,4.46,Damaged,1
0.5683,2141,1.149,1764,46.084,0.7374,0.8055,32,4.5392,2.9416,Intact,0
9.5825,1928,1.7999,391,292.5392,0.537,0.0768,5,2.2837,4.1781,Failed,2
4.7839,2208,0.2074,1888,113.1376,0.84,0.4137,36,4.5076,3.766,Failed,2
7.6777,4168,1.6251,2037,447.849,0.3393,0.6789,30,2.8737,2.6423,Failed,2
13.6227,1038,1.0176,893,391.75,0.7089,0.2368,33,5.072,3.0469,Failed,2
3.8145,4905,2.0267,1584,349.8526,0.9938,0.084,40,4.846,5.5561,Failed,2
6.2147,906,0.4139,469,308.472,0.3146,0.77,28,5.3524,2.5722,Failed,2
11.3577,1563,1.5529,2038,431.7329,0.674,0.6302,13,5.0932,6.237,Failed,2
3.5091,3515,1.3062,1982,111.531,0.8443,0.9885,35,5.2667,2.8457,Damaged,1
1.247,110,1.6773,1899,436.5544,0.9158,0.3443,35,5.0056,5.697,Damaged,1
4.4173,1968,0.3492,355,394.7461,0.7179,0.0618,14,4.4268,6.0945,Failed,2
2.5022,4967,1.534,918,374.0804,0.2836,0.7344,7,2.5959,6.2645,Damaged,1
13.9525,984,1.4914,1185,280.6278,0.3263,0.5217,25,2.951,5.9699,Failed,2
12.141,3664,1.4895,1484,123.1221,0.0208,0.2132,35,2.7445,3.6502,Failed,2
9.5377,1489,1.588,255,211.774,0.7609,0.7817,20,4.1126,3.8323,Failed,2
13.0848,3501,1.7559,545,396.7853,0.0427,0.2038,27,3.7627,4.2062,Failed,2
12.0747,4421,2.0515,1959,15.8892,0.8647,0.2607,3,5.0348,3.0572,Failed,2
2.8799,924,0.8206,1095,391.0254,0.1187,0.0925,15,5.3344,2.5891,Damaged,1
13.3991,2365,2.0976,262,120.0354,0.1719,0.3994,21,3.417,5.9765,Failed,2
8.1362,1036,1.346,359,72.1546,0.4765,0.4189,11,3.7722,4.7165,Failed,2
12.1309,2900,0.3772,2041,57.8507,0.7379,0.5146,15,5.4003,4.9349,Failed,2
13.4518,2653,0.3347,321,13.625,0.139,0.709,39,2.9668,6.208,Failed,2
4.8383,3945,0.9687,1872,261.7932,0.4401,0.9061,37,4.7734,5.1605,Failed,2
1.7398,1896,2.0053,2129,109.1299,0.4829,0.1377,41,2.7883,5.2634,Damaged,1
3.4962,153,1.8277,492,494.7159,0.2123,0.0543,36,4.3851,5.6479,Failed,2
6.4639,826,2.0138,2259,287.2184,0.1156,0.0185,28,2.8877,2.9654,Failed,2
12.2884,2836,1.3897,303,68.9426,0.8364,0.1436,17,5.0931,3.9406,Failed,2
12.9249,3270,1.2125,570,344.3813,0.5025,0.6579,9,3.9652,6.3728,Failed,2
0.2036,2013,0.5391,1026,448.8718,0.0144,0.7275,41,2.6508,6.1917,Intact,0
7.7101,1696,0.9548,59,372.5897,0.803,0.7865,38,2.7853,6.0363,Failed,2
6.3194,2014,1.1982,1633,38.2199,0.9808,0.2437,17,3.7285,4.3084,Failed,2
3.4094,2566,0.4038,1184,447.9421,0.6059,0.3059,0,5.3656,5.9288,Failed,2
1.886,2837,0.7074,202,396.9647,0.5037,0.4831,38,4.6937,2.6936,Damaged,1
5.1305,949,1.5759,1708,79.152,0.8784,0.0632,20,3.7091,3.0941,Failed,2
14.1494,2209,1.892,1906,25.8929,0.9525,0.6111,0,3.182,4.1559,Failed,2
4.9157,102,2.4962,1264,278.6553,0.7545,0.9837,14,3.9224,4.4336,Failed,2
7.83,4355,2.3462,1802,78.0179,0.4455,0.3608,3,4.6193,3.554,Failed,2
10.575,4169,1.6779,1154,417.2955,0.5922,0.7528,19,4.7438,3.9259,Failed,2
5.5181,4976,1.1689,944,179.1673,0.7009,0.5,9,3.1361,3.1511,Failed,2
14.5796,992,1.6632,1161,456.4462,0.1943,0.1278,22,4.5241,4.4565,Failed,2
14.4405,2130,2.007,153,282.8441,0.4472,0.5822,40,4.3023,5.6754,Failed,2
3.8516,3260,0.4722,1964,91.3362,0.8298,0.2999,33,5.3569,5.1454,Failed,2
7.509,2476,1.1428,1056,69.7994,0.6547,0.0344,45,5.2588,2.9312,Failed,2
4.5831,4775,2.1315,456,288.2362,0.4112,0.6349,32,4.7628,4.4503,Failed,2
4.3441,2033,1.0828,1451,380.9418,0.6634,0.8589,33,4.5319,5.2906,Failed,2
0.6496,1480,1.5153,216,390.7528,0.1182,0.3448,38,2.9591,4.6196,Intact,0
9.1825,3781,1.5519,558,137.8787,0.4015,0.3903,9,4.9609,4.0667,Failed,2
7.5899,1390,0.6243,1711,102.1234,0.7931,0.891,19,3.4963,4.9877,Failed,2
0.867,1740,1.0331,2410,8.3782,0.2205,0.8136,0,2.9528,6.3746,Intact,0
4.2518,2782,0.9694,812,339.5996,0.186,0.715,12,3.3446,2.8796,Failed,2
13.6332,1087,0.2603,730,38.2841,0.9508,0.2488,0,4.9258,4.0601,Failed,2
3.6695,1318,0.2556,2170,210.3806,0.2099,0.9102,4,2.5202,4.1264,Failed,2
2.2589,1455,2.1129,1214,300.8411,0.2609,0.1544,15,3.5966,4.8079,Damaged,1
7.3928,4365,0.8281,631,468.5545,0.9696,0.6268,14,3.7233,3.1087,Failed,2
14.7862,4716,1.3916,311,155.9011,0.7347,0.0288,27,2.1282,3.2066,Failed,2
3.7066,4235,0.8871,1413,124.8861,0.6996,0.6437,30,2.6851,3.6414,Damaged,1
10.1148,1660,2.3636,1381,327.0801,0.8529,0.2771,22,4.8936,6.3235,Failed,2
11.4481,1518,0.7964,2342,309.6195,0.1158,0.4497,44,4.9077,5.4364,Failed,2
3.6408,1054,1.1882,1588,166.0549,0.706,0.3453,42,3.0235,5.1468,Failed,2
10.9504,1083,2.2073,610,464.0509,0.5037,0.1728,16,5.0621,5.7678,Failed,2
5.58,1074,2.1364,1149,422.4312,0.8292,0.622,33,4.7012,3.0103,Failed,2
9.5214,4233,0.628,1953,111.9913,0.5081,0.882,12,3.4627,5.9373,Failed,2
9.5396,4072,2.0461,224,119.5713,0.6202,0.9591,13,4.6194,4.8793,Failed,2
8.083,1013,1.2538,2206,256.1502,0.4777,0.1923,10,5.3647,3.8413,Failed,2
1.4453,4649,1.3108,2280,386.7861,0.4782,0.7174,27,3.6064,5.7634,Damaged,1
12.546,136,0.507,241,22.0202,0.768,0.6643,41,2.8345,5.7103,Failed,2
4.8796,3487,0.3854,114,346.6676,0.6286,0.3434,31,5.2964,5.8828,Failed,2
2.8791,1811,1.8743,1547,324.1179,0.6333,0.0191,34,4.1131,2.9621,Damaged,1
0.7075,3120,1.3419,1617,115.74,0.4503,0.6898,30,2.3684,6.3774,Intact,0
8.9043,895,1.2048,1201,340.6765,0.5311,0.9455,16,4.0044,6.3385,Failed,2
10.1957,4136,1.8779,1987,470.0916,0.7457,0.6321,8,3.752,3.9299,Failed,2
0.3472,4788,1.9607,418,23.3929,0.8259,0.4353,9,4.9946,2.7636,Intact,0
7.7302,3211,0.5655,900,159.826,0.6966,0.5252,7,3.8574,3.1682,Failed,2
3.4748,1424,1.6035,92,219.0884,0.9241,0.1996,20,2.8933,6.4713,Failed,2
9.7131,417,0.5113,1957,449.6302,0.8203,0.7505,12,4.3648,4.7521,Failed,2
2.6981,2496,1.9282,127,481.1307,0.5619,0.7464,4,3.899,3.9265,Failed,2
10.395,2262,1.711,1874,222.0576,0.6714,0.1455,5,2.8157,3.6528,Failed,2
5.8624,2845,2.4002,1343,375.0142,0.9263,0.878,29,4.0077,3.528,Failed,2
14.0573,1691,0.3586,723,265.8305,0.6192,0.2692,30,4.8754,5.1566,Failed,2
2.1491,3211,0.3312,750,268.8915,0.8248,0.9823,16,2.1,4.1776,Damaged,1
5.1819,4030,0.849,808,139.0498,0.6888,0.3829,10,4.208,6.3616,Failed,2
1.7908,2096,0.8019,1973,108.4781,0.5519,0.1779,19,3.2235,5.2354,Damaged,1
13.8779,1412,0.7681,951,144.0027,0.2418,0.3517,8,3.0244,5.6682,Failed,2
13.1724,1385,2.2844,1042,278.164,0.426,0.4402,1,3.3741,3.671,Failed,2
3.9433,4411,0.774,1241,14.5776,0.9677,0.0693,36,3.1971,2.8167,Failed,2
9.9338,2483,0.8255,2436,453.6245,0.6578,0.5782,0,4.9128,4.4513,Failed,2
12.2766,3339,1.9466,2290,78.1419,0.5644,0.5976,3,2.9618,3.7583,Failed,2
8.3725,2239,1.2344,1526,110.0443,0.933,0.7389,35,4.566,3.3083,Failed,2
7.9918,1804,1.9864,2380,259.1381,0.5865,0.0292,24,2.3292,6.3106,Failed,2
3.7036,462,0.3503,439,355.0574,0.5261,0.5412,2,5.3299,4.276,Failed,2
1.4872,2704,1.3214,1049,47.8645,0.7593,0.0529,8,4.1781,3.1988,Damaged,1
13.4685,1816,0.2773,574,158.8473,0.7127,0.7011,21,4.4735,3.2946,Failed,2
13.5162,4551,0.3441,1905,484.3373,0.1932,0.0557,22,3.0431,3.6228,Failed,2
9.5332,4386,2.2848,1556,131.1715,0.4713,0.9117,11,3.4423,6.4973,Failed,2
5.1515,3838,0.5203,708,156.5251,0.4725,0.7021,9,2.7832,3.572,Failed,2
5.3032,2569,1.4246,940,418.2492,0.3782,0.5074,33,5.2639,3.8152,Failed,2
10.9167,4895,1.1455,1531,25.1072,0.5173,0.4415,42,3.7084,5.1373,Failed,2
13.4669,656,0.9989,501,232.3066,0.4131,0.1307,9,4.2066,3.6758,Failed,2
13.3176,925,2.2696,1587,189.8084,0.1993,0.291,29,4.57,3.3632,Failed,2
11.7201,2908,0.2502,932,158.2934,0.4124,0.869,21,3.2989,3.1345,Failed,2
9.6663,4621,1.7267,362,142.8498,0.0723,0.9045,5,4.5204,3.7507,Failed,2
1.3537,2819,2.4158,889,45.6871,0.5758,0.0007,1,4.366,2.9237,Intact,0
2.5083,3608,1.4884,424,157.4129,0.8537,0.5941,29,4.4698,2.5746,Damaged,1
13.4885,3841,2.3547,500,21.5262,0.7253,0.7193,1,3.7123,5.7186,Failed,2
9.1358,1674,0.3202,644,390.4819,0.3604,0.6187,31,3.3403,3.0516,Failed,2
0.237,4098,1.1632,1283,199.1139,0.0871,0.0817,41,2.7773,5.6039,Intact,0
1.6119,2229,0.7984,549,221.9519,0.2021,0.2177,15,4.8862,5.6902,Damaged,1
9.9862,2503,1.8809,513,446.7973,0.5455,0.2503,11,4.1292,4.6517,Failed,2
0.1754,3429,2.457,162,329.0275,0.2071,0.8317,0,3.5552,3.7387,Intact,0
2.496,688,0.79,1085,4.0296,0.544,0.4632,7,5.304,3.0801,Damaged,1
8.2761,2112,1.7046,2428,471.5874,0.2316,0.4868,12,2.1674,5.4472,Failed,2
10.4092,1647,0.6556,1974,118.5722,0.8489,0.9349,14,4.9756,4.9055,Failed,2
9.8142,394,1.5003,189,53.8071,0.3973,0.6371,43,5.4915,5.1218,Failed,2
3.4416,2085,1.267,1474,384.0641,0.2456,0.8987,7,5.1043,2.5347,Failed,2
10.7115,3217,2.4356,566,250.2387,0.8123,0.4565,9,4.8365,6.2101,Failed,2
3.635,1790,1.5996,1997,216.8853,0.3428,0.1494,45,3.3101,2.7652,Failed,2
4.9485,1236,1.0039,2215,124.7515,0.1115,0.9299,4,2.8096,3.9672,Failed,2
11.2227,2164,0.4624,937,273.7357,0.5704,0.4587,18,4.572,4.1108,Failed,2
9.7795,4555,0.5479,1391,137.1923,0.5816,0.1816,37,3.066,2.5054,Failed,2
12.7534,4895,0.7182,99,450.7915,0.7147,0.3024,10,2.6161,4.4884,Failed,2
9.8984,4643,0.7772,68,107.6022,0.2402,0.0508,42,4.7528,5.5112,Failed,2
8.5678,4870,2.1564,775,442.1776,0.4438,0.4683,19,3.0939,5.7931,Failed,2
1.4958,1107,1.4908,2294,279.7027,0.2824,0.8531,19,5.2005,6.0176,Damaged,1
5.579,2614,1.4038,1523,414.2441,0.081,0.9336,20,4.9422,4.4509,Failed,2
4.0515,3626,0.464,501,356.423,0.8766,0.9326,17,4.9667,5.0225,Failed,2
3.7354,4781,2.1783,2386,348.3476,0.7289,0.1252,9,4.7005,2.8181,Failed,2
14.5979,1347,1.8625,1214,162.1729,0.3015,0.3821,33,5.0831,4.4522,Failed,2
5.9572,4002,0.3556,1157,116.9485,0.5994,0.0282,25,4.8201,3.1193,Failed,2
13.3915,1535,1.828,2488,105.4431,0.2013,0.8552,29,4.1088,3.9786,Failed,2
9.504,671,1.4501,264,428.5958,0.8902,0.3588,8,3.0354,3.8172,Failed,2
11.9427,2482,0.388,1599,410.2134,0.1149,0.6311,45,5.1087,4.1942,Failed,2
7.5893,1345,1.2541,2312,220.2868,0.0038,0.7149,30,4.9421,4.7865,Failed,2
8.6959,2184,1.3148,177,66.2023,0.502,0.4298,41,3.6551,6.1115,Failed,2
7.4385,377,0.5813,1895,191.1261,0.5831,0.3064,3,2.1368,4.0779,Failed,2
3.0091,1987,2.3751,809,309.6717,0.579,0.9622,5,4.2349,6.4245,Failed,2
10.8645,4679,2.1549,1865,227.2016,0.0545,0.9645,13,2.1771,5.5361,Failed,2
4.2835,1365,1.7388,2435,390.0946,0.314,0.2894,3,5.242,4.5459,Failed,2
0.4623,4926,1.2633,410,498.8114,0.4992,0.4796,25,5.3657,5.0761,Intact,0
9.7175,1140,1.1471,618,95.566,0.2166,0.9728,38,2.6632,2.9089,Failed,2
2.7389,1017,1.6972,1465,229.8254,0.8726,0.0049,16,4.3674,5.8781,Damaged,1
14.1128,985,1.4545,2315,215.492,0.0871,0.4127,18,2.3229,4.8294,Failed,2
14.3135,2852,0.3432,1647,152.2463,0.4874,0.1005,5,4.5533,6.4443,Failed,2
13.7315,121,1.3788,1742,99.0478,0.6914,0.5092,28,3.2155,5.0457,Failed,2
5.6154,4669,2.0547,251,32.8461,0.2618,0.0247,10,4.3837,5.8364,Failed,2
0.3303,3291,1.2563,2114,443.5597,0.6242,0.4069,15,3.3051,5.6991,Intact,0
13.9319,2453,0.3195,2419,209.9243,0.8294,0.2207,29,2.5095,3.8818,Failed,2
6.4799,4899,2.0084,567,248.4478,0.1903,0.5333,24,3.4214,3.5384,Failed,2
14.5032,786,0.6631,1398,458.471,0.9172,0.996,39,2.3944,4.222,Failed,2
14.4579,384,0.7948,1485,388.1452,0.5536,0.8005,10,4.0191,4.369,Failed,2
12.8098,4911,0.5788,1391,65.2506,0.2992,0.8456,6,2.1433,3.4603,Failed,2
4.4873,3847,0.9595,730,282.71,0.4309,0.6353,25,3.8456,6.0784,Failed,2
5.838,862,1.9405,2038,221.1261,0.3122,0.0416,21,5.1023,4.6702,Failed,2
12.7819,2528,1.3946,1541,398.6055,0.7251,0.2068,24,4.9326,6.4138,Failed,2
4.8221,2607,0.6712,474,362.1163,0.7963,0.9251,18,5.0897,5.7401,Failed,2
2.6254,128,2.219,2018,345.2029,0.8329,0.3661,30,5.2272,4.7228,Failed,2
8.3963,1006,2.223,1762,170.2724,0.9858,0.1036,25,2.3658,6.2882,Failed,2
14.0487,3204,2.2023,2484,402.4819,0.7913,0.7024,41,2.4506,4.5195,Failed,2
10.4708,4099,0.7492,827,26.1956,0.6014,0.2995,40,3.9495,6.0484,Failed,2
8.5939,3094,1.2379,2195,79.8125,0.3392,0.2689,35,5.1289,3.9326,Failed,2
1.5479,2606,2.4655,1876,167.8116,0.5446,0.998,22,5.4102,4.0146,Damaged,1
9.2636,4765,1.9756,257,38.4037,0.0411,0.8581,12,2.1619,4.1725,Failed,2
14.8518,3709,0.2625,1587,117.4971,0.7448,0.4079,24,3.2452,4.6865,Failed,2
2.1873,3653,0.35,1709,415.0755,0.446,0.9803,1,2.7451,4.714,Damaged,1
7.8231,1553,1.267,2263,474.1258,0.02,0.6501,1,4.6459,4.4856,Failed,2
13.1729,4933,2.2912,71,152.3012,0.0625,0.742,15,4.2407,3.724,Failed,2
11.1375,3456,1.439,203,132.2579,0.3875,0.0315,8,2.4196,6.2088,Failed,2
10.4855,615,1.345,2012,139.9463,0.5834,0.1216,27,3.6923,4.8543,Failed,2
10.567,138,0.4426,268,138.8595,0.4642,0.6331,12,4.399,4.131,Failed,2
5.4564,3442,1.7106,718,17.9651,0.6192,0.899,34,4.7265,5.1047,Failed,2
4.4745,986,2.0908,1568,463.4582,0.4803,0.6237,40,2.0702,5.5719,Failed,2
12.1595,2944,1.075,2327,106.8491,0.6617,0.134,12,5.1166,6.3429,Failed,2
12.1707,2304,1.9839,2117,210.002,0.2191,0.1158,30,3.9925,4.4982,Failed,2
13.0194,1198,2.4183,999,4.8434,0.1128,0.8442,20,4.8417,2.9484,Failed,2
13.7073,1923,0.6687,2245,428.9775,0.5964,0.1393,31,4.8278,4.2631,Failed,2
7.719,3301,1.4037,452,365.5787,0.4847,0.5202,33,2.6645,4.4159,Failed,2
7.5726,3255,0.8604,645,473.378,0.0269,0.0371,7,2.3856,6.088,Failed,2
11.9946,3193,2.0236,2464,390.8077,0.3805,0.0807,40,4.5245,4.0792,Failed,2
9.7845,3630,1.5285,1487,156.8533,0.1061,0.6723,1,2.5475,6.3133,Failed,2
10.5593,3878,1.6595,1207,123.9367,0.5314,0.6892,37,4.9748,4.4405,Failed,2
11.9573,2996,2.0352,1792,348.8582,0.3958,0.3415,31,4.5417,6.3951,Failed,2
13.3611,3553,1.1107,1356,182.0564,0.6132,0.2156,39,4.9464,2.5328,Failed,2
5.1361,3611,2.3047,122,283.1075,0.8056,0.8137,27,3.0465,6.0953,Failed,2
5.6962,1088,1.426,530,3.1287,0.2997,0.2171,36,3.1081,6.2245,Failed,2
1.5003,4216,0.5633,609,30.9429,0.9621,0.542,40,4.3493,6.3441,Damaged,1
8.7164,4126,1.8006,794,267.684,0.5356,0.9682,0,2.1101,2.5523,Failed,2
0.6355,4279,2.0245,1516,283.0358,0.6183,0.1479,40,4.5427,3.1868,Intact,0
7.0374,1782,0.9286,149,375.7265,0.6807,0.9409,9,4.9252,5.1151,Failed,2
8.1854,4765,2.1715,1132,65.9827,0.6667,0.1829,3,3.4531,2.6019,Failed,2
